<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19940802,000000,7.90337,7.90337,7.90337,7.90337,363602.03827840986,0
CDR,D,19940803,000000,8.68064,8.68064,8.68064,8.68064,340647.0556037408,0
CDR,D,19940804,000000,9.54149,9.54149,9.54149,9.54149,372389.99372152437,0
CDR,D,19940808,000000,8.68064,8.68064,8.68064,8.68064,276145.0306562814,0
CDR,D,19940809,000000,10.2457,10.2457,10.2457,10.2457,141875.94570211472,0
CDR,D,19940810,000000,9.66425,9.66425,9.66425,9.66425,163687.50652965103,0
CDR,D,19940811,000000,9.46684,9.46684,9.46684,9.46684,133920.8656561066,0
CDR,D,19940816,000000,10.0581,10.0581,10.0581,10.0581,85308.63709901953,0
CDR,D,19940817,000000,10.5629,10.5629,10.5629,10.5629,86376.71325008362,0
CDR,D,19940818,000000,9.50416,9.50416,9.50416,9.50416,57138.5104341202,0
CDR,D,19940822,000000,9.86167,9.86167,9.86167,9.86167,110009.80718939324,0
CDR,D,19940823,000000,9.07389,9.07389,9.07389,9.07389,71687.357071441,0
CDR,D,19940824,000000,8.87717,8.87717,8.87717,8.87717,79600.69152908375,0
CDR,D,19940825,000000,7.97841,7.97841,7.97841,7.97841,67105.524202245,0
CDR,D,19940829,000000,8.64312,8.64312,8.64312,8.64312,92967.42528615138,0
CDR,D,19940830,000000,8.6057,8.6057,8.6057,8.6057,60320.33881550632,0
CDR,D,19940831,000000,8.1,8.1,8.1,8.1,48978.77518662373,0
CDR,D,19940901,000000,7.90337,7.90337,7.90337,7.90337,71383.93791699223,0
CDR,D,19940905,000000,7.51003,7.51003,7.51003,7.51003,45157.526573713454,0
CDR,D,19940906,000000,6.75162,6.75162,6.75162,6.75162,39532.05399542279,0
CDR,D,19940907,000000,6.08672,6.08672,6.08672,6.08672,164253.61743526885,0
CDR,D,19940908,000000,6.66735,6.66735,6.66735,6.66735,90912.72779058768,0
CDR,D,19940912,000000,7.3135,7.3135,7.3135,7.3135,113849.3831337801,0
CDR,D,19940913,000000,6.59242,6.59242,6.59242,6.59242,171345.2765317012,0
CDR,D,19940914,000000,6.70477,6.70477,6.70477,6.70477,71050.9913951638,0
CDR,D,19940915,000000,6.57365,6.57365,6.57365,6.57365,41202.895715056875,0
CDR,D,19940919,000000,6.555,6.555,6.555,6.555,57523.38439513247,0
CDR,D,19940920,000000,5.90875,5.90875,5.90875,5.90875,66263.48513939478,0
CDR,D,19940921,000000,5.37505,5.37505,5.37505,5.37505,93921.4647080264,0
CDR,D,19940922,000000,5.59033,5.59033,5.59033,5.59033,83112.41187705137,0
CDR,D,19940926,000000,5.44056,5.44056,5.44056,5.44056,52261.40389113156,0
CDR,D,19940927,000000,5.04741,5.04741,5.04741,5.04741,59205.42615066862,0
CDR,D,19940928,000000,5.04741,5.04741,5.04741,5.04741,106676.26923078626,0
CDR,D,19940929,000000,5.33763,5.33763,5.33763,5.33763,53514.78972712778,0
CDR,D,19941003,000000,5.87133,5.87133,5.87133,5.87133,109517.00560969181,0
CDR,D,19941004,000000,5.92761,5.92761,5.92761,5.92761,129681.1429744768,0
CDR,D,19941005,000000,6.51748,6.51748,6.51748,6.51748,83941.21453383524,0
CDR,D,19941006,000000,6.41455,6.41455,6.41455,6.41455,104606.29895898787,0
CDR,D,19941007,000000,6.53623,6.53623,6.53623,6.53623,85909.36629742522,0
CDR,D,19941010,000000,6.41455,6.41455,6.41455,6.41455,54644.975168196135,0
CDR,D,19941011,000000,6.12423,6.12423,6.12423,6.12423,56998.000892798394,0
CDR,D,19941012,000000,6.12423,6.12423,6.12423,6.12423,50477.543627391045,0
CDR,D,19941013,000000,5.5155,5.5155,5.5155,5.5155,91994.04034771713,0
CDR,D,19941014,000000,6.03996,6.03996,6.03996,6.03996,132546.31579534776,0
CDR,D,19941017,000000,6.32085,6.32085,6.32085,6.32085,95325.54193616385,0
CDR,D,19941018,000000,6.51748,6.51748,6.51748,6.51748,94021.24684606647,0
CDR,D,19941019,000000,6.41455,6.41455,6.41455,6.41455,46264.293757895,0
CDR,D,19941020,000000,6.3022,6.3022,6.3022,6.3022,123298.1406951423,0
CDR,D,19941021,000000,5.98379,5.98379,5.98379,5.98379,62691.691871586176,0
CDR,D,19941024,000000,5.53426,5.53426,5.53426,5.53426,61947.398576611726,0
CDR,D,19941025,000000,5.6091,5.6091,5.6091,5.6091,47861.826151621746,0
CDR,D,19941026,000000,5.63729,5.63729,5.63729,5.63729,118983.07231744492,0
CDR,D,19941027,000000,5.33763,5.33763,5.33763,5.33763,33441.27083463903,0
CDR,D,19941028,000000,5.22518,5.22518,5.22518,5.22518,29303.366661213608,0
CDR,D,19941102,000000,5.74964,5.74964,5.74964,5.74964,43318.68431554319,0
CDR,D,19941103,000000,5.69336,5.69336,5.69336,5.69336,17866.09363461852,0
CDR,D,19941104,000000,5.67471,5.67471,5.67471,5.67471,46843.64106957819,0
CDR,D,19941107,000000,5.63729,5.63729,5.63729,5.63729,36702.51765242435,0
CDR,D,19941108,000000,5.63729,5.63729,5.63729,5.63729,21158.90418994678,0
CDR,D,19941109,000000,5.65594,5.65594,5.65594,5.65594,54843.52125919463,0
CDR,D,19941110,000000,5.65594,5.65594,5.65594,5.65594,46990.259721391856,0
CDR,D,19941114,000000,5.63729,5.63729,5.63729,5.63729,38939.47027767425,0
CDR,D,19941115,000000,5.22518,5.22518,5.22518,5.22518,44032.432058055325,0
CDR,D,19941116,000000,5.22518,5.22518,5.22518,5.22518,74206.34696441617,0
CDR,D,19941117,000000,5.12225,5.12225,5.12225,5.12225,23779.712591127303,0
CDR,D,19941118,000000,5.42191,5.42191,5.42191,5.42191,47104.296450580936,0
CDR,D,19941121,000000,4.86945,4.86945,4.86945,4.86945,18725.441843862674,0
CDR,D,19941122,000000,4.40116,4.40116,4.40116,4.40116,59914.082967771545,0
CDR,D,19941123,000000,4.45734,4.45734,4.45734,4.45734,33737.562693513304,0
CDR,D,19941124,000000,4.43859,4.43859,4.43859,4.43859,23174.910652393028,0
CDR,D,19941125,000000,4.45734,4.45734,4.45734,4.45734,14417.500761736786,0
CDR,D,19941128,000000,4.86945,4.86945,4.86945,4.86945,36583.38999782505,0
CDR,D,19941129,000000,5.3563,5.3563,5.3563,5.3563,85315.76439459404,0
CDR,D,19941130,000000,5.80582,5.80582,5.80582,5.80582,76936.10116937556,0
