<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURPLN,D,19840924,000000,0.0092,0.0092,0.0092,0.0092,0,0
EURPLN,D,19841001,000000,0.0094,0.0094,0.0094,0.0094,0,0
EURPLN,D,19841008,000000,0.0092,0.0092,0.0092,0.0092,0,0
EURPLN,D,19841015,000000,0.0092,0.0092,0.0092,0.0092,0,0
EURPLN,D,19841022,000000,0.009,0.009,0.009,0.009,0,0
EURPLN,D,19841029,000000,0.0091,0.0091,0.0091,0.0091,0,0
EURPLN,D,19841105,000000,0.0092,0.0092,0.0092,0.0092,0,0
EURPLN,D,19841112,000000,0.0094,0.0094,0.0094,0.0094,0,0
EURPLN,D,19841119,000000,0.0094,0.0094,0.0094,0.0094,0,0
EURPLN,D,19841126,000000,0.0093,0.0093,0.0093,0.0093,0,0
EURPLN,D,19841201,000000,0.0092,0.0092,0.0092,0.0092,0,0
EURPLN,D,19841210,000000,0.0091,0.0091,0.0091,0.0091,0,0
EURPLN,D,19841217,000000,0.0091,0.0091,0.0091,0.0091,0,0
EURPLN,D,19841224,000000,0.0091,0.0091,0.0091,0.0091,0,0
EURPLN,D,19850101,000000,0.0099,0.0099,0.0099,0.0099,0,0
EURPLN,D,19850107,000000,0.0098,0.0098,0.0098,0.0098,0,0
EURPLN,D,19850114,000000,0.0098,0.0098,0.0098,0.0098,0,0
EURPLN,D,19850121,000000,0.0097,0.0097,0.0097,0.0097,0,0
EURPLN,D,19850128,000000,0.0097,0.0097,0.0097,0.0097,0,0
EURPLN,D,19850204,000000,0.0098,0.0098,0.0098,0.0098,0,0
EURPLN,D,19850211,000000,0.0097,0.0097,0.0097,0.0097,0,0
EURPLN,D,19850218,000000,0.0096,0.0096,0.0096,0.0096,0,0
EURPLN,D,19850225,000000,0.0095,0.0095,0.0095,0.0095,0,0
EURPLN,D,19850304,000000,0.0094,0.0094,0.0094,0.0094,0,0
EURPLN,D,19850311,000000,0.0092,0.0092,0.0092,0.0092,0,0
EURPLN,D,19850318,000000,0.0094,0.0094,0.0094,0.0094,0,0
EURPLN,D,19850325,000000,0.0094,0.0094,0.0094,0.0094,0,0
EURPLN,D,19850329,000000,0.0093,0.0093,0.0093,0.0093,0,0
EURPLN,D,19850401,000000,0.0098,0.0098,0.0098,0.0098,0,0
EURPLN,D,19850409,000000,0.0099,0.0099,0.0099,0.0099,0,0
EURPLN,D,19850415,000000,0.0098,0.0098,0.0098,0.0098,0,0
EURPLN,D,19850422,000000,0.0101,0.0101,0.0101,0.0101,0,0
EURPLN,D,19850429,000000,0.01,0.01,0.01,0.01,0,0
EURPLN,D,19850506,000000,0.0099,0.0099,0.0099,0.0099,0,0
EURPLN,D,19850513,000000,0.0096,0.0096,0.0096,0.0096,0,0
EURPLN,D,19850520,000000,0.01,0.01,0.01,0.01,0,0
EURPLN,D,19850527,000000,0.01,0.01,0.01,0.01,0,0
EURPLN,D,19850601,000000,0.0115,0.0115,0.0115,0.0115,0,0
EURPLN,D,19850610,000000,0.0117,0.0117,0.0117,0.0117,0,0
EURPLN,D,19850617,000000,0.0115,0.0115,0.0115,0.0115,0,0
EURPLN,D,19850624,000000,0.0116,0.0116,0.0116,0.0116,0,0
EURPLN,D,19850701,000000,0.0116,0.0116,0.0116,0.0116,0,0
EURPLN,D,19850708,000000,0.0117,0.0117,0.0117,0.0117,0,0
EURPLN,D,19850715,000000,0.0118,0.0118,0.0118,0.0118,0,0
EURPLN,D,19850723,000000,0.0121,0.0121,0.0121,0.0121,0,0
EURPLN,D,19850729,000000,0.0121,0.0121,0.0121,0.0121,0,0
EURPLN,D,19850805,000000,0.0122,0.0122,0.0122,0.0122,0,0
EURPLN,D,19850812,000000,0.012,0.012,0.012,0.012,0,0
EURPLN,D,19850819,000000,0.0123,0.0123,0.0123,0.0123,0,0
EURPLN,D,19850826,000000,0.0123,0.0123,0.0123,0.0123,0,0
EURPLN,D,19850902,000000,0.0122,0.0122,0.0122,0.0122,0,0
EURPLN,D,19850909,000000,0.0121,0.0121,0.0121,0.0121,0,0
EURPLN,D,19850916,000000,0.0118,0.0118,0.0118,0.0118,0,0
EURPLN,D,19850923,000000,0.012,0.012,0.012,0.012,0,0
EURPLN,D,19850930,000000,0.0124,0.0124,0.0124,0.0124,0,0
EURPLN,D,19851007,000000,0.0125,0.0125,0.0125,0.0125,0,0
EURPLN,D,19851014,000000,0.0126,0.0126,0.0126,0.0126,0,0
EURPLN,D,19851021,000000,0.0125,0.0125,0.0125,0.0125,0,0
EURPLN,D,19851028,000000,0.0126,0.0126,0.0126,0.0126,0,0
EURPLN,D,19851104,000000,0.013,0.013,0.013,0.013,0,0
EURPLN,D,19851111,000000,0.0127,0.0127,0.0127,0.0127,0,0
EURPLN,D,19851118,000000,0.0126,0.0126,0.0126,0.0126,0,0
EURPLN,D,19851125,000000,0.0127,0.0127,0.0127,0.0127,0,0
EURPLN,D,19851202,000000,0.0128,0.0128,0.0128,0.0128,0,0
EURPLN,D,19851209,000000,0.0129,0.0129,0.0129,0.0129,0,0
