Data,Cena zakupu,Cena sprzedaży,Zysk
2020-02-24,280.185,305.671,24492.04600000003
2020-04-28,261.092,342.816,92021.22399999999
2020-06-01,377.083,378.9,1858.7909999999101
2020-07-08,388.633,381.002,-7615.738000000012
2020-08-14,369.923,392.07,22744.96900000004
2020-09-04,439.901,408.59,-28680.87599999999
2020-10-02,410.112,379.185,-28205.424
2020-10-06,380.619,357.803,-20739.744000000006
2020-10-15,371.357,357.99,-11709.492000000027
2020-11-25,348.443,347.491,-856.8000000000466
2020-12-10,371.828,345.576,-22077.93199999997
2021-02-08,253.648,273.31,22532.652000000002
2021-04-01,216.228,185.752,-44129.24800000002
2021-06-02,165.628,158.695,-11259.19199999998
2021-06-22,168.142,174.605,9907.77899999998
2021-07-16,198.244,190.672,-10222.20000000004
2021-09-21,163.624,181.5,28136.823999999993
2021-10-18,191.38,185.683,-8499.924000000057
2021-12-01,178.455,181.695,5031.719999999972
2022-01-11,185.585,185.192,-597.359999999986
2022-02-21,182.521,165.982,-25519.676999999996
2022-04-04,160.6,171.011,16595.13399999999
2022-06-03,113.005,102.339,-25737.05800000002
2022-07-15,89.3256,92.5985,9046.295600000041
2022-08-23,91.9436,83.3506,-23922.91200000001
2022-09-26,87.1212,101.886,39333.427200000006
