Rok,Czy poprawiło się,Wynik algorytmu prostego,Wynik algorytmu z usuwaniem szumów 2 dniowym,Różnica
2000,False,7790.12,4641.38,-3148.74
2001,False,-16069.26,-16432.96,-363.7
2002,True,-4474.06,-4301.02,173.04
2003,True,-714.05,-614.79,99.26
2004,False,-41.21,-210.33,-169.12
2005,False,1072.38,729.33,-343.05
2006,False,-170.04,-246.68,-76.64
2007,False,1981.86,1914.41,-67.45
2008,True,3673.36,4254.42,581.06
2009,True,2469.1,2612.37,143.27
2010,False,4337.51,4232.44,-105.07
2011,False,5300.73,5091.25,-209.48
2012,False,2928.07,2626.32,-301.75
2013,True,4184.49,4761.71,577.22
2014,True,10607.18,11203.31,596.13
2015,False,47047.14,23611.22,-23435.92
2016,False,64220.96,31156.3,-33064.66
2017,False,75761.12,51479.14,-24281.98
2018,True,126014.02,132019.64,6005.62
2019,True,85193.77,95474.92,10281.15
2020,True,-2366.7,4154.01,6520.71
2021,True,-10514.52,5860.35,16374.87
