Year,Improved,Default,Tweak,Diff
2000,True,-850.5,-582.25,268.25
2001,True,-160.0,193.03,353.03
2002,True,158.11,370.98,212.87
2003,False,-271.23,-333.76,-62.52999999999997
2004,False,-407.27,-515.61,-108.34000000000003
2005,False,-96.91,-236.8,-139.89000000000001
2006,False,-161.8,-166.02,-4.219999999999999
2007,False,15.43,-110.69,-126.12
2008,False,-313.42,-384.52,-71.09999999999997
2009,True,-413.44,-271.6,141.83999999999997
2010,True,-379.23,-209.16,170.07000000000002
2011,True,-20.76,46.84,67.60000000000001
2012,True,-178.33,-137.89,40.440000000000026
2013,True,204.58,251.09,46.50999999999999
2014,True,312.4,416.16,103.76000000000005
2015,True,34.39,141.65,107.26
2016,True,177.39,272.07,94.68
2017,True,-105.09,-74.39,30.700000000000003
2018,False,360.78,183.34,-177.43999999999997
2019,False,416.49,172.38,-244.11
2020,False,774.62,517.73,-256.89
2021,True,383.69,408.02,24.329999999999984
